iter	Passed	Remaining
476	643	705
477	644	704
478	646	703
479	649	703
480	651	703
481	654	703
482	656	702
483	658	701
484	659	700
485	661	699
486	663	698
487	665	698
488	667	697
489	668	695
490	670	694
491	672	694
492	673	692
493	675	691
494	677	691
495	679	690
496	680	688
497	682	687
498	683	686
499	684	684
500	686	683
501	687	681
502	688	680
503	690	679
504	691	677
505	693	677
506	695	676
507	696	674
508	697	673
509	698	671
510	700	669
511	701	668
512	702	667
513	703	665
514	705	664
515	706	662
516	707	661
517	709	659
518	710	658
519	711	656
520	712	654
521	713	653
522	714	651
523	715	649
524	715	647
525	716	645
526	717	644
527	718	642
528	719	640
529	720	639
530	721	637
531	724	636
532	726	636
533	728	635
534	729	634
535	730	632
536	731	630
537	732	629
538	733	627
539	734	625
540	735	623
541	736	622
542	736	620
543	738	618
544	739	617
545	740	615
546	741	613
547	742	612
548	743	610
549	744	609
550	745	607
551	746	605
552	747	604
553	748	602
554	749	600
555	750	599
556	751	597
557	752	595
558	753	594
559	754	592
560	755	591
561	756	589
562	757	588
563	758	586
564	759	584
565	760	582
566	761	581
567	761	579
568	762	577
569	763	576
570	764	574
571	765	572
572	766	570
573	766	569
574	768	567
575	769	566
576	770	564
577	771	563
578	772	561
579	773	559
580	774	558
581	775	556
582	776	555
583	777	553
584	777	551
585	778	550
586	779	548
587	780	546
588	781	545
589	782	543
590	783	542
591	784	540
592	786	539
593	787	538
594	788	536
595	789	534
596	789	533
597	790	531
598	791	529
599	792	528
600	793	526
601	794	525
602	795	523
603	796	521
604	796	520
605	797	518
606	799	517
607	800	515
608	801	514
609	802	512
610	803	511
611	804	509
612	805	508
613	806	506
614	806	505
615	807	503
616	808	502
617	809	500
618	810	498
619	811	497
620	812	495
621	812	494
622	814	492
623	815	491
624	816	489
625	817	488
626	818	487
627	819	485
628	820	483
629	821	482
630	822	480
631	823	479
632	824	477
633	825	476
634	825	474
635	826	473
636	827	471
637	828	470
638	829	468
639	831	467
640	832	466
641	833	464
642	833	462
643	834	461
644	835	460
645	836	458
646	837	456
647	838	455
648	839	453
649	840	452
650	840	450
651	841	449
652	842	447
653	843	446
654	844	445
655	846	443
656	847	442
657	848	440
658	849	439
659	850	438
660	851	436
661	852	435
662	852	433
663	853	431
664	854	430
665	855	428
666	856	427
667	856	425
668	857	424
669	858	422
670	860	421
671	861	420
672	862	419
673	863	417
674	864	416
675	865	414
676	866	413
677	867	411
678	868	410
679	868	408
680	869	407
681	870	406
682	871	404
683	872	403
684	873	401
685	875	400
686	877	399
687	879	398
688	880	397
689	881	395
690	882	394
691	883	393
692	888	393
693	889	392
694	891	391
695	892	389
696	893	388
697	894	386
698	895	385
699	896	384
700	897	382
701	898	381
702	899	379
703	900	378
704	900	377
705	901	375
706	902	374
707	903	372
708	904	371
709	906	370
710	907	368
711	909	367
712	910	366
713	911	365
714	912	363
715	913	362
716	914	360
717	915	359
718	916	358
719	916	356
720	917	355
721	918	353
722	919	352
723	920	351
724	921	349
725	922	348
726	923	346
727	924	345
728	925	344
729	926	342
730	927	341
731	928	339
732	929	338
733	930	337
734	930	335
735	931	334
736	932	332
737	933	331
738	934	330
739	935	328
740	936	327
741	937	326
742	939	324
743	940	323
744	941	322
745	942	320
746	943	319
747	944	318
748	945	316
749	946	315
750	947	314
751	947	312
752	948	311
753	949	309
754	951	308
755	952	307
756	953	306
757	954	304
758	955	303
759	956	301
760	956	300
761	957	299
762	958	297
763	959	296
764	960	295
765	961	293
766	962	292
767	962	290
768	963	289
769	964	288
770	965	286
771	966	285
772	968	284
773	969	283
774	970	281
775	971	280
776	972	278
777	972	277
778	973	276
779	974	274
780	975	273
781	976	272
782	977	270
783	978	269
784	979	268
785	980	266
786	980	265
787	982	264
788	983	262
789	984	261
790	985	260
791	986	258
792	987	257
793	987	256
794	988	254
795	989	253
796	990	252
797	991	250
798	992	249
799	993	248
800	994	246
801	995	245
802	995	244
803	997	243
804	998	241
805	999	240
806	1000	239
807	1001	238
808	1002	236
809	1003	235
810	1004	234
811	1005	232
812	1006	231
813	1006	230
814	1007	228
815	1008	227
816	1009	226
817	1010	224
818	1011	223
819	1012	222
820	1014	221
821	1015	219
822	1016	218
823	1017	217
824	1018	215
825	1018	214
826	1019	213
827	1020	212
828	1021	210
829	1022	209
830	1023	208
831	1023	206
832	1024	205
833	1025	204
834	1026	202
835	1027	201
836	1029	200
837	1030	199
838	1031	197
839	1032	196
840	1033	195
841	1034	194
842	1035	192
843	1035	191
844	1036	190
845	1037	188
846	1038	187
847	1039	186
848	1039	184
849	1040	183
850	1042	182
851	1043	181
852	1044	179
853	1045	178
854	1046	177
855	1047	176
856	1048	174
857	1048	173
858	1049	172
859	1050	171
860	1051	169
861	1052	168
862	1053	167
863	1054	165
864	1055	164
865	1055	163
866	1056	162
867	1058	160
868	1059	159
869	1060	158
870	1061	157
871	1062	155
872	1063	154
873	1064	153
874	1065	152
875	1065	150
876	1066	149
877	1067	148
878	1068	147
879	1069	145
880	1070	144
881	1070	143
882	1071	142
883	1073	140
884	1074	139
885	1075	138
886	1076	137
887	1077	135
888	1078	134
889	1079	133
890	1079	132
891	1080	130
892	1081	129
893	1082	128
894	1083	127
895	1084	125
896	1084	124
897	1085	123
898	1086	122
899	1088	120
900	1089	119
901	1090	118
902	1090	117
903	1091	115
904	1092	114
905	1093	113
906	1094	112
907	1095	111
908	1096	109
909	1097	108
910	1098	107
911	1098	106
912	1099	104
913	1100	103
914	1101	102
915	1102	101
916	1103	99
917	1104	98
918	1105	97
919	1106	96
920	1107	95
921	1108	93
922	1109	92
923	1110	91
924	1111	90
925	1112	88
926	1113	87
927	1113	86
928	1114	85
929	1115	83
930	1116	82
931	1117	81
932	1119	80
933	1121	79
934	1122	78
935	1123	76
936	1124	75
937	1125	74
938	1126	73
939	1127	71
940	1128	70
941	1128	69
942	1129	68
943	1130	67
944	1131	65
945	1132	64
946	1133	63
947	1134	62
948	1135	61
949	1137	59
950	1138	58
951	1139	57
952	1140	56
953	1140	55
954	1141	53
955	1142	52
956	1143	51
957	1144	50
958	1145	48
959	1145	47
960	1146	46
961	1147	45
962	1149	44
963	1151	42
964	1152	41
965	1153	40
966	1153	39
967	1154	38
968	1155	36
969	1156	35
970	1157	34
971	1158	33
972	1159	32
973	1159	30
974	1160	29
975	1161	28
976	1162	27
977	1163	26
978	1164	24
979	1165	23
980	1166	22
981	1167	21
982	1168	20
983	1169	19
984	1170	17
985	1171	16
986	1172	15
987	1172	14
988	1173	13
989	1174	11
990	1175	10
991	1176	9
992	1177	8
993	1177	7
994	1179	5
995	1180	4
996	1181	3
997	1182	2
998	1183	1
999	1184	0
